"customer","sale_date","seller"
Cristina Xu,1992-12-29,Abraham Bennet
Jacob Martinez,1992-11-25,Michael O'Leary
Jared Gray,1992-12-12,Dirk Stringer
Kaitlyn Allen,1992-10-25,Dirk Stringer
Karen Huang,1992-11-05,Dirk Stringer
Krista Gill,1992-12-20,Marjorie Green
Kristen Li,1992-10-31,Michael O'Leary
Levi Gonzalez,1992-11-17,Marjorie Green
Mario Rai,1992-09-25,Abraham Bennet
Mya Coleman,1992-11-16,Michael O'Leary
Olivia Bennett,1992-12-29,Michael O'Leary
Richard Martinez,1992-12-12,Abraham Bennet
Samuel Sharma,1992-12-10,Michael O'Leary
Tyrone Ruiz,1992-11-16,Marjorie Green
Willie Gao,1992-11-25,Michael O'Leary
